Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
200000001598827314,200000001598827313,200000001222293162,DRINKS,Drinks,,Soda refill,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001598827316,200000001598827315,200000001222293162,DRINKS,Drinks,,Tonic refill,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001701150712,200000001701150711,200000001222293162,DRINKS,Drinks,,Iced Tea refill,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000004447472245,200000004447472244,200000001222293162,DRINKS,Drinks,,Lemonade refill,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870814817,200000000870814816,,DRINKS,Liquor,,,10.20,10.0,0.3125,102.00,0.3893129770992366,10.0,102.00,0.0,0.00,5.20,96.80,7,0.7777777777777778,0,0.3125,0.17543859649122806,0,0.3778298204527713,0.18354190367842246
200000000870817447,200000000870817446,200000000870814817,DRINKS,Liquor,Vodka,,10.50,4.0,0.4,42.00,0.4117647058823529,4.0,42.00,0.0,0.00,0.00,42.00,3,0.42857142857142855,0,0.4,0.07017543859649122,0,0.43388429752066116,0.07963594994311718
200000000870819219,200000000870819218,200000000870817447,DRINKS,Liquor,Vodka,Titos,10.0,3.0,0.75,30.00,0.7142857142857143,3.0,30.00,0.0,0.00,0.00,30.00,2,0.6666666666666666,0.75,0.3,0.05263157894736842,0.7142857142857143,0.30991735537190085,0.056882821387940846
200000000870819221,200000000870819220,200000000870817447,DRINKS,Liquor,Vodka,Absolut,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870819223,200000000870819222,200000000870817447,DRINKS,Liquor,Vodka,Ketel One,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000000870819227,200000000870819226,200000000870817447,DRINKS,Liquor,Vodka,Grey Goose,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
