Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
200000001647355172,200000001647355171,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Chasing Lions,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002472895494,200000002472895493,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Benzinger Cabernet,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002624946399,200000002624946398,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Ormanni Chianti,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002472895492,200000002472895491,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Catena Malbec,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000002472895490,200000002472895489,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Leaping Horse Merlot,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517148,200000001207517147,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Steelhead Pinot Noir,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000005098686193,200000005098686192,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Hahn Pinot Noir,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000004921180355,200000004921180354,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Klinker Brick Zinfandel,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207519345,200000001207519344,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Chateau Beavillage Medoc,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207517200,200000001207517149,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Chalk Hill Pinot Noir,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207519337,200000001207519336,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Bravium Pinot Noir Wiley Vineyard,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207519339,200000001207519338,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Etude Carneros Pinot Noir,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001207519347,200000001207519346,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Violetta Barolo La Morra,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
200000001506850310,200000001506850309,200000001207517138,DRINKS,Wine,Bottles/Red,BTL Ariel Cabernet N/A,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
